Question,Context,Label
What are common asthma treatments?,The most common asthma treatments are inhalers. These are considered the best asthma treatments for most people. This is because inhalers help get the medicine to the airways where it’s needed. Almost everyone with asthma has a preventer inhaler and a reliever inhaler.,
Are inhalers useful to asthma patients?,"Almost everyone with asthma has a preventer inhaler and a reliever inhaler. Everyone with asthma can benefit from a preventer inhaler.
Preventer inhalers prevent swelling and inflammation in the airways. This means you’re less likely to get symptoms if you come across your asthma triggers. 
Regular preventer medicine helps prevent asthma attacks. Reliever inhalers relieve asthma symptoms like coughing, wheezing, breathlessness, and a tight chest. You use your reliever inhaler just when you have symptoms or an asthma attack.
If your asthma is well controlled, you shouldn’t need to use your reliever inhaler often - or at all. But remember to always carry it with you in case symptoms do flare up. A small number of people who have mild symptoms very infrequently may only need a reliever inhaler to use when they get symptoms. However, some studies suggest that everyone should have a preventer inhaler too, to lower their risk of asthma attacks.",
When should I go to see a doctor?,"If you're using your reliever inhaler three or more times a week, see your GP or asthma nurse as soon as possible to review your treatment plan. If you've only been prescribed a reliever inhaler, see your GP or asthma nurse urgently to ask for a preventer inhaler too.",
When may I need preventer inhaler?,You need a preventer inhaler if you've noticed symptoms three or more times a week or you wake up at night with symptoms or you've had an asthma attack in the last two years.,
Can you tell me something about additional treatments?,"As a kind of add-on treatment, a long-acting bronchodilator opens up your airways. It contains reliever medicines that last 12 hours. It can lower your risk of asthma attacks. You must continue to take your preventer inhaler as prescribed because long-acting bronchodilators cannot deal with the inflammation in your airways. Your GP may prescribe a long-acting bronchodilator in a combination inhaler. This is one inhaler containing both the long-acting bronchodilator and your preventer medicine. You'll need your usual blue reliever inhaler too, in case you get symptoms. A certain type of long-acting bronchodilator medicine, found in MART inhalers (Maintenance and reliever therapy), can give quick relief for asthma symptoms too. This means you can use your MART inhaler as an emergency reliever as well. But not all combination inhalers can be used as a reliever so check with your GP. Make sure your GP or asthma nurse explains what your long-acting bronchodilator can and cannot do.",
Can you tell me something about add-on treatments?,"As a kind of add-on treatment, montelukast is a preventer tablet. It is a leukotriene receptor antagonist (LTRA). This kind of medicine helps with the inflammation in your airways. Unlike your preventer inhaler, montelukast does not contain steroids. You need to take it alongside your regular steroid preventer inhaler.",
Can you tell me something about extra treatments?,"As a kind of add-on treatment, Your GP may prescribe you oral steroids (usually prednisolone) in addition to your usual asthma medicines. Steroids help you get symptoms under control in the short term, or if you’ve had an asthma attack, by reducing the inflammation in your airways. If you frequently need oral steroids, or you need to take them long-term, you should be referred to an asthma specialist to look at other ways to manage your asthma.",
When should I call for an ambulance? When should I go to hospital?,"Call 144 for an ambulance if you're having an asthma attack and your symptoms do not improve after ten puffs, 30-60 seconds apart, of your reliever inhaler, or if you feel worse at any point.",
What I can do with an asthma attack?,"If you do have an asthma attack, the first line of treatment is your blue reliever inhaler. This can quickly get symptoms under control. If you need to be treated in hospital for an asthma attack, you’ll be treated with higher doses of reliever medicine. Sometimes this will be given through a nebuliser. You’ll also be given oxygen. You’ll need to take a course of steroid tablets as part of your recovery plan. See your GP for a follow up after being discharged from hospital. They can make sure you’re making a good recovery, and that you’re not at risk from another attack. Remember: taking your preventer medicine every day is the best way to prevent symptoms from building up into an asthma attack.",
Can I know about about the asthma from you?,"If you have any concerns about the treatments you’ve been prescribed you can speak to a respiratory nurse specialist on our Helpline by calling 0300 222 5800, Monday-Friday, 9am-5pm. Or you can WhatsApp them on 07378 606728.",
