Question,Answer

How to diagnose Asthma?,"Episodic symptoms of airflow obstruction are present

Airflow obstruction or symptoms are at least partially reversible

Exclusion of alternative diagnoses

Spirometry with postbronchodilator response should be obtained as the primary test to establish the asthma diagnosis. Pulse oximetry measurement is desirable in all patients with acute asthma to exclude hypoxemia. The chest radiograph remains the initial imaging evaluation in most individuals with symptoms of asthma, but in most patients with asthma, chest radiography findings are normal or may indicate hyperinflation. Exercise spirometry is the standard method for assessing patients with exercise-induced bronchoconstriction.

"
How to treat Asthma ?,"
Pharmacologic management includes the use of relief and control agents. Control agents include inhaled corticosteroids, long-acting bronchodilators (beta-agonists and anticholinergics), theophylline (Theo-24, Theochron, Uniphyl), leukotriene modifiers, anti-IgE antibodies, anti-interleukin (IL)–5 antibodies, and anti–IL-4/IL-13 antibodies. Relief medications include short-acting bronchodilators, systemic corticosteroids, and ipratropium (Atrovent).
The pharmacologic treatment of asthma is based on stepwise therapy. Asthma medications should be added or deleted as the frequency and severity of the patient's symptoms change.

Environmental exposures and irritants can play a strong role in symptom exacerbations. The use of skin testing or in vitro testing to assess sensitivity to perennial indoor allergens is important. Once the offending allergens are identified, counsel patients on how to avoid them. Efforts should focus on the home, where specific triggers include dust mites, animals, cockroaches, mold, and pollen.
"
What are the signs and symptoms of asthma?,"Signs and symptoms of asthma include the following:

Wheezing

Coughing

Shortness of breath

Chest tightness/pain

Other nonspecific symptoms in infants or young children may be a history of recurrent bronchitis, bronchiolitis, or pneumonia; a persistent cough with colds; and/or recurrent croup or chest rattling."
Which medications are used in the treatment of asthma and how are they managed?,"Pharmacologic management includes the use of relief and control agents. Control agents include inhaled corticosteroids, long-acting bronchodilators (beta-agonists and anticholinergics), theophylline (Theo-24, Theochron, Uniphyl), leukotriene modifiers, anti-IgE antibodies, anti-interleukin (IL)–5 antibodies, and anti–IL-4/IL-13 antibodies. Relief medications include short-acting bronchodilators, systemic corticosteroids, and ipratropium (Atrovent).

The pharmacologic treatment of asthma is based on stepwise therapy. Asthma medications should be added or deleted as the frequency and severity of the patient's symptoms change."
What is the anatomical structure of the airways of the lungs?,"The airways of the lungs consist of the cartilaginous bronchi, membranous bronchi, and gas-exchanging bronchi termed the respiratory bronchioles and alveolar ducts. While the first 2 types function mostly as anatomic dead space, they also contribute to airway resistance. The smallest non-gas-exchanging airways, the terminal bronchioles, are approximately 0.5 mm in diameter; airways are considered small if they are less than 2 mm in diameter. [4]

Airway structure consists of the following:

Mucosa, which is composed of epithelial cells that are capable of specialized mucous production and a transport apparatus

Basement membrane

A smooth-muscle matrix extending to the alveolar entrances

Predominantly fibrocartilaginous or fibroelastic-supporting connective tissue."
Which pathologic features are involved in the pathophysiology of asthma?,"The pathophysiology of asthma is complex and involves airway inflammation, intermittent airflow obstruction, and bronchial hyperresponsiveness. The mechanism of inflammation in asthma may be acute, subacute, or chronic, and the presence of airway edema and mucus secretion also contributes to airflow obstruction and bronchial reactivity. Varying degrees of mononuclear cell and eosinophil infiltration, mucus hypersecretion, desquamation of the epithelium, smooth muscle hyperplasia, and airway remodeling are present"
"
What is the prevalence of asthma in the US?","Asthma is a common chronic disease worldwide and affects approximately 26 million persons in the United States. It is the most common chronic disease in childhood, affecting an estimated 7 million children, and it is a common cause of hospitalization for children in the United States."
What are the goals of asthma management?,"For all but the most severely affected patients, the ultimate goal is to prevent symptoms, minimize morbidity from acute episodes, and prevent functional and psychological morbidity to provide a healthy (or near healthy) lifestyle appropriate to the age of child."
ow is the severity of asthma classified based on physical findings?,"Physical findings vary with the severity of the asthma and with the absence or presence of an acute episode and its severity. The severity of asthma is classified as intermittent, mild persistent, moderate persistent, or severe persistent. Patients with asthma of any level of severity may have mild, moderate, or severe exacerbations."
"What are the cellular elements of the airways of the lungs, and which dysfunction leads to bronchial asthma?","Cellular elements include mast cells, which are involved in the complex control of releasing histamine and other mediators. Basophils, eosinophils, neutrophils, and macrophages also are responsible for extensive mediator release in the early and late stages of bronchial asthma. Stretch and irritant receptors reside in the airways, as do cholinergic motor nerves, which innervate the smooth muscle and glandular units. In bronchial asthma, smooth muscle contraction in an airway is greater than that expected for its size if it were functioning normally, and this contraction varies in its distribution."
,"The critical role of inflammation has been further substantiated, but evidence is emerging for considerable variability in the pattern of inflammation, thus indicating phenotypic differences that may influence treatment responses

Of the environmental factors, allergic reactions remain important. Evidence also suggests a key and expanding role for viral respiratory infections in these processes

The onset of asthma for most patients begins early in life, with the pattern of disease persistence determined by early, recognizable risk factors including atopic disease, recurrent wheezing, and a parental history of asthma

Current asthma treatment with anti-inflammatory therapy does not appear to prevent progression of the underlying disease severity"
"What are the categories of airway inflammation in asthma, and what physiologic features contribute to airflow obstruction?","The mechanism of inflammation in asthma may be acute, subacute, or chronic, and the presence of airway edema and mucus secretion also contributes to airflow obstruction and bronchial reactivity. Varying degrees of mononuclear cell and eosinophil infiltration, mucus hypersecretion, desquamation of the epithelium, smooth muscle hyperplasia, and airway remodeling are present. "
"What is the role of chronic inflammation in asthma, and which common symptoms result from inflammation?","Chronic inflammation of the airways is associated with increased bronchial hyperresponsiveness, which leads to bronchospasm and typical symptoms of wheezing, shortness of breath, and coughing after exposure to allergens, environmental irritants, viruses, cold air, or exercise. In some patients with chronic asthma, airflow limitation may be only partially reversible because of airway remodeling (hypertrophy and hyperplasia of smooth muscle, angiogenesis, and subepithelial fibrosis) that occurs with chronic untreated disease."
What is the role of Th lymphocytes in airway inflammation associated with asthma?,"Airway inflammation in asthma may represent a loss of normal balance between two ""opposing"" populations of Th lymphocytes. Two types of Th lymphocytes have been characterized: Th1 and Th2. Th1 cells produce interleukin (IL)-2 and IFN-α, which are critical in cellular defense mechanisms in response to infection. Th2, in contrast, generates a family of cytokines (IL-4, IL-5, IL-6, IL-9, and IL-13) that can mediate allergic inflammation. A study by Gauvreau et al found that IL-13 has a role in allergen-induced airway responses. "
What factors contribute to the different types of airflow obstruction in asthma?,"Airflow obstruction can be caused by a variety of changes, including acute bronchoconstriction, airway edema, chronic mucous plug formation, and airway remodeling. Acute bronchoconstriction is the consequence of immunoglobulin E-dependent mediator release upon exposure to aeroallergens and is the primary component of the early asthmatic response. Airway edema occurs 6-24 hours following an allergen challenge and is referred to as the late asthmatic response. Chronic mucous plug formation consists of an exudate of serum proteins and cell debris that may take weeks to resolve. Airway remodeling is associated with structural changes due to long-standing inflammation and may profoundly affect the extent of reversibility of airway obstruction. "
How does airway obstruction in asthma affect the ability to breathe?,"Airway obstruction causes increased resistance to airflow and decreased expiratory flow rates. These changes lead to a decreased ability to expel air and may result in hyperinflation. The resulting overdistention helps maintain airway patency, thereby improving expiratory flow; however, it also alters pulmonary mechanics and increases the work of breathing."
